Label,Count,Categories,ExampleProducts
"ACOUSTIC NOISE",1,"Fans","XIGMATEK Aero DGT 360 Digital LCD 3 Fan ARGB and PWM Infinity Ring Four Side 360mm Standard Fan Blade-EN90212"
"Air Flow",1,"AIR Cooler","ID-COOLING FROZN A620 GDL 6 Heatpipe Dual Tower With 2 120mm FDB Fan"
"Architecture",2,"AMD CPU","AMD RYZEN 7-9700X (8C/16T), 3.8Ghz/5.5GHz, 32MB, 65W TDP, Socket AM5 LGA 1718, Tray+Fan; AMD RYZEN 7-9850X3D TRAY Processor"
"ARGB Headers",2,"AMD Motherboard","GIGABYTE AORUS AMD X870E  MASTER  X3D 1.0; MSI AMD MAG B850M MORTAR  WIFI"
"Audio Jacks",2,"AMD Motherboard","GIGABYTE AORUS AMD X870E  MASTER  X3D 1.0; MSI AMD MAG B850M MORTAR  WIFI"
"Base Clock",2,"AMD CPU","AMD RYZEN 7-9700X (8C/16T), 3.8Ghz/5.5GHz, 32MB, 65W TDP, Socket AM5 LGA 1718, Tray+Fan; AMD RYZEN 7-9850X3D TRAY Processor"
"BIOS/Performance Profile",2,"PC Memory","CORSAIR Vengeance 16GB LPX 3200Hz CL16-20-20-38 (CMK16GX4M1E3200C16); KLEVV Bolt V 32GB (2x16GB) DDR5 6400MHz CL32 - White (KD5AGUA80-64A320I)"
"Bluetoooht & Wireless",2,"AMD Motherboard","GIGABYTE AORUS AMD X870E  MASTER  X3D 1.0; MSI AMD MAG B850M MORTAR  WIFI"
"Boost Clock",2,"Nvidia GeForce","MSI RTX 3050 VENTUS 2X XS 8G OC; MSI RTX 5070 12G SHADOW 2X OC"
"Brand",8,"AIR Cooler; Mid Tower; Non modular; Nvidia GeForce; PC Memory","Aerocool P500D 3Fans ARGB Black + Aerocool LUX 650W – 80Plus Bronze; CORSAIR Vengeance 16GB LPX 3200Hz CL16-20-20-38 (CMK16GX4M1E3200C16); ID-COOLING FROZN A620 GDL 6 Heatpipe Dual Tower With 2 120mm FDB Fan; KLEVV Bolt V 32GB (2x16GB) DDR5 6400MHz CL32 - White (KD5AGUA80-64A320I); MSI RTX 3050 VENTUS 2X XS 8G OC; MSI RTX 5070 12G SHADOW 2X OC; SEASONIC Core GC-850 ATX3 850W Atx 3.1 80 Plus Gold Braidad Cables Hydro Dynamic Bearing Fan; Seasonic Core BC-850 ATX3 850W Atx 3.1 80 Plus Bronze braided cables Hydro Dynamic Bearing Fan Power Supply"
